aldipee – [2018:08:30- 06:02:54] -[/80/index.php]  -[/80/home]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:30- 06:02:57] -[/80/index.php]  -[/80/userbaru]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:30- 06:03:31] -[/80/index.php]  -[/80/index.php?page=data_user&msg=done&act=input]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:30- 06:05:47] -[/80/index.php]  -[/80/]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:30- 06:05:47] -[/80/index.php]  -[/80/]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:30- 06:05:51] -[/80/index.php]  -[/80/userbaru]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:30- 06:06:12] -[/80/index.php]  -[/80/index.php?page=data_user&msg=exist]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:30- 06:06:45] -[/80/index.php]  -[/80/userbaru]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:30- 06:07:27] -[/80/index.php]  -[/80/userbaru]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:30- 06:07:39] -[/80/index.php]  -[/80/home]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:30- 06:22:25] -[/80/index.php]  -[/80/datauser]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:30- 06:22:28] -[/80/index.php]  -[/80/datauser]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:30- 06:22:30] -[/80/index.php]  -[/80/datauser]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:30- 06:22:35] -[/80/index.php]  -[/80/datauser]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:30- 06:22:39] -[/80/index.php]  -[/80/datauser]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:30- 13:55:35] -[/80/index.php]  -[/80/home]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:30- 13:55:40] -[/80/index.php]  -[/80/home]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:30- 14:13:03] -[/80/index.php]  -[/80/home]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:30- 14:13:03] -[/80/index.php]  -[/80/home]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:30- 14:14:30] -[/80/index.php]  -[/80/home]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:30- 14:14:45] -[/80/index.php]  -[/80/home]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:30- 14:14:46] -[/80/index.php]  -[/80/home]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:30- 14:14:46] -[/80/index.php]  -[/80/home]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:30- 14:14:46] -[/80/index.php]  -[/80/home]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:30- 14:14:46] -[/80/index.php]  -[/80/home]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:30- 14:14:51] -[/80/index.php]  -[/80/home]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:30- 14:14:52] -[/80/index.php]  -[/80/home]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:30- 14:14:53] -[/80/index.php]  -[/80/home]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:30- 14:14:54] -[/80/index.php]  -[/80/home]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:30- 14:14:55] -[/80/index.php]  -[/80/home]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:30- 14:14:56] -[/80/index.php]  -[/80/home]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:30- 14:14:57] -[/80/index.php]  -[/80/home]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:30- 14:14:58] -[/80/index.php]  -[/80/home]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:30- 14:14:59] -[/80/index.php]  -[/80/home]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:30- 14:15:36] -[/80/index.php]  -[/80/home]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:30- 14:15:37] -[/80/index.php]  -[/80/home]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:30- 14:15:38] -[/80/index.php]  -[/80/home]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:30- 14:15:38] -[/80/index.php]  -[/80/home]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:30- 14:15:40] -[/80/index.php]  -[/80/home]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:30- 14:15:40] -[/80/index.php]  -[/80/home]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:30- 14:15:40] -[/80/index.php]  -[/80/home]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:30- 14:15:40] -[/80/index.php]  -[/80/home]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:30- 14:15:41] -[/80/index.php]  -[/80/home]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:30- 14:15:41] -[/80/index.php]  -[/80/home]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:30- 14:15:41] -[/80/index.php]  -[/80/home]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:30- 14:15:41] -[/80/index.php]  -[/80/home]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:30- 14:15:41] -[/80/index.php]  -[/80/home]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:30- 14:15:41] -[/80/index.php]  -[/80/home]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:30- 14:15:42] -[/80/index.php]  -[/80/home]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:30- 14:15:42] -[/80/index.php]  -[/80/home]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:30- 14:15:42] -[/80/index.php]  -[/80/home]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:30- 14:15:42] -[/80/index.php]  -[/80/home]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:30- 14:15:42] -[/80/index.php]  -[/80/home]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:30- 14:15:42] -[/80/index.php]  -[/80/home]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:30- 14:15:43] -[/80/index.php]  -[/80/home]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:30- 14:15:49] -[/80/index.php]  -[/80/home]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:30- 14:15:50] -[/80/index.php]  -[/80/home]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:30- 14:18:03] -[/80/index.php]  -[/80/home]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:30- 14:18:05] -[/80/index.php]  -[/80/home]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:30- 14:18:05] -[/80/index.php]  -[/80/home]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
